C60 Pro (MultiMark)	FZ_MM_base	FOISON	C60 Pro MultiMark	1530	96

A12 (MultiMark)	FZ_MM_base	ICUTTER	A12 MultiMark	305	96
A24 (MultiMark)	FZ_MM_base	ICUTTER	A24 MultiMark	610	96
A48 (MultiMark)	FZ_MM_base	ICUTTER	A48 MultiMark	1200	96
A60 (MultiMark)	FZ_MM_base	ICUTTER	A60 MultiMark	1530	96
					
S12 Pro (AutoMark)	FZ_SPAML2_base	FOISON	S12 Pro AutoMark	305	112
S24 Pro (AutoMark)	FZ_SPAML2_base	FOISON	S24 Pro AutoMark	610	112
S48 Pro (AutoMark)	FZ_SPAML2_base	FOISON	S48 Pro AutoMark	1220	112
S60 Pro (AutoMark)	FZ_SPAML2_base	FOISON	S60 Pro AutoMark	1524	112
					


V12	FZ_CX_base	ICUTTER	V12	305	87
V24	FZ_CX_base	ICUTTER	V24	610	87
V48	FZ_CX_base	ICUTTER	V48	1220	87
V60	FZ_CX_base	ICUTTER	V60	1524	87
					
V12 Pro (AutoMark)	FZ_ARMS2_base	ICUTTER	V12 Pro AutoMark	305	119
V24 Pro (AutoMark)	FZ_ARMS2_base	ICUTTER	V24 Pro AutoMark	610	119
V48 Pro (AutoMark)	FZ_ARMS2_base	ICUTTER	V48 Pro AutoMark	1220	119
V60 Pro (AutoMark)	FZ_ARMS2_base	ICUTTER	V60 Pro AutoMark	1524	119

V12 Pro (MultiMark)	FZ_MM_base	ICUTTER	V12 Pro MultiMark	305	96
V24 Pro (MultiMark)	FZ_MM_base	ICUTTER	V24 Pro MultiMark	610	96
V48 Pro (MultiMark)	FZ_MM_base	ICUTTER	V48 Pro MultiMark	1200	96
V60 Pro (MultiMark)	FZ_MM_base	ICUTTER	V60 Pro MultiMark	1530	96
					
A12 (MultiMark)	FZ_MM_base	ICUTTER	A12 MultiMark	305	96
A24 (MultiMark)	FZ_MM_base	ICUTTER	A24 MultiMark	610	96
